,text,probabilities,classes,trump or not
3132,"#MakeAmericaSafeAgain #ImWithYou
https://t.co/N9XNoGNcqc",0.0,0,not trump
3133,"A vote for Hillary Clinton is a vote for another generation of poverty, high crime, &amp; lost opportunities. #ImWithYou
https://t.co/Eph6qy7zyB",0.1,0,not trump
3134,"We will repeal &amp; replace #Obamacare, which has caused soaring double-digit premium increases. It is a disaster! https://t.co/NNMyTJo6i6",0.02,0,not trump
3135,"We are going to make this a government of the people once again!
#MakeAmericaGreatAgain #ImWithYou
https://t.co/Fi7yEb2XQb",0.0,0,not trump
3139,#CrookedHillary #ThrowbackThursday https://t.co/v8J0r64J7h,0.0,0,not trump
3147,Thank you Michigan. This is a MOVEMENT. We are going to MAKE AMERICA SAFE AND GREAT AGAIN! #TrumpPence16 https://t.co/vP3eqF3Zbb,0.0,0,not trump
3225,"My condolences to Dwyane Wade and his family, on the loss of Nykea Aldridge. They are in my thoughts and prayers.",0.62,1,trump
3226,Just landed in Iowa to attend a great event in honor of wonderful Senator @JoniErnst. Look forward to being with all of my friends.,0.42,0,not trump
3227,Thank you Iowa! #ImWithYou https://t.co/3BIF6jBTkk,0.0,0,not trump
3246,We will repeal and replace the horrible disaster known as #Obamacare! https://t.co/YzRTPrqrNC,0.18,0,not trump
3254,"RT @DRUDGE_REPORT: REUTERS POLL:  CLINTON, TRUMP ALL TIED UP... https://t.co/htCXcTA5T7",0.22,0,not trump
3255,"RT @RSBNetwork: We are ALREADY LIVE in Everett, WA for the Trump Rally. Come join us- our cameras tonight! #TrumpinEverett 

https://t.co/R…",0.18,0,not trump
3257,"Thank you Washington! Together, WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/CWDQnISYH4",0.02,0,not trump
3279,#ImWithYou https://t.co/I8dHzezmY4,0.0,0,not trump
3309,"Mainstream media never covered Hillary’s massive “hacking”
or coughing attack, yet it is #1 trending. What’s up?",0.54,1,trump
3313,"Great meeting with military spouses in Virginia- joined by @IvankaTrump, @LaraLeaTrump, @GenFlynn &amp; @MayorRGiuliani. https://t.co/00GNH9nLet",0.26,0,not trump
3327,RT @DanScavino: Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9…,0.24,0,not trump
3328,Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!,0.76,1,trump
3334,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.,0.58,1,trump
3337,".@CNN is unwatchable. Their news on me is fiction. They
are a disgrace to the broadcasting industry and an arm of the Clinton campaign.",0.68,1,trump
3338,Jeff Zucker failed @NBC and he is now failing @CNN.,0.82,1,trump
3340,"Henry McMaster, Lt. Governor of South Carolina who endorsed me, beat failed @CNN announcer Bakari Sellers, so badly. Funny!",0.5,0,not trump
3399,"Thank you for a great evening - Laconia, New Hampshire -- will be back soon! #AmericaFirst
https://t.co/3KWOl2ibaW https://t.co/QWbYm2lY7B",0.0,0,not trump
3402,Great parade in The Villages- I love you all. We will #MAGA. Thank you for the incredible support-I will not forget! https://t.co/5qTDijU3hn,0.02,0,not trump
3429,"I will be interviewed on the @oreillyfactor - tonight from Florida, now. Enjoy!",0.44,0,not trump
3430,"Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/XhwUGw0v2H",0.02,0,not trump
3431,Amazing rally in Florida - this is a MOVEMENT! Join us today at https://t.co/3KWOl2ibaW. https://t.co/BF1IqPXNho,0.0,0,not trump
3475,"Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT",0.04,0,not trump
3476,RT @TeamTrump: A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW,0.3,0,not trump
3477,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years,0.52,1,trump
3478,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016,0.46,0,not trump
3480,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,0.36,0,not trump
3483,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016",0.24,0,not trump
3484,RT @TeamTrump: WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh,0.18,0,not trump
3485,"RT @TeamTrump: When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA #Debates #De…",0.14,0,not trump
3486,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp,0.08,0,not trump
3488,"RT @TeamTrump: Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed @realDonaldTrump!…",0.14,0,not trump
3490,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr,0.04,0,not trump
3493,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",0.62,1,trump
3494,RT @TeamTrump: .@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate. #Debates20…,0.04,0,not trump
3496,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,0.28,0,not trump
3539,My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,0.4,0,not trump
3670,Join me on #FacebookLive as I conclude my final #debate preparations. https://t.co/gAbNvI8Fd7,0.04,0,not trump
3673,It’s this simple. “Make America Great Again.” #debate #BigLeagueTruth,0.32,0,not trump
3674,RT @TeamTrump: .@realDonaldTrump is here to talk about the REAL issues #BigLeagueTruth #Debates2016 https://t.co/C5OF7HdJz6,0.14,0,not trump
3675,I’m not proud of my locker room talk. But this world has serious problems. We need serious leaders. #debate #BigLeagueTruth,0.48,0,not trump
3676,"RT @TeamTrump: Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016
https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ",0.14,0,not trump
3677,There’s never been anyone more abusive to women in politics than Bill Clinton.My words were unfortunate-the Clintons’ actions were far worse,0.62,1,trump
3679,RT @TeamTrump: RT if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw,0.12,0,not trump
3681,Basically nothing Hillary has said about her secret server has been true. #CrookedHillary,0.32,0,not trump
3682,"Hillary’s 33,000 deleted emails about her daughter’s wedding. That’s a lot of wedding emails. #debate",0.28,0,not trump
3684,Obama and Clinton told the same lie to sell #ObamaCare. #Debates2016 https://t.co/vhOLtHrR66,0.02,0,not trump
3685,"We must repeal Obamacare and replace it with a much more competitive, comprehensive, affordable system. #debate #MAGA",0.26,0,not trump
3686,.@HillaryClinton : Bill “clarified” what he meant when calling Obamacare a “disaster.” Actually “disaster” is pretty clear. #Debate,0.58,1,trump
3687,"RT @TeamTrump: We agree with Bill, ObamaCare is “the craziest thing in the world.” #BigLeagueTruth #Debates2016 https://t.co/v2yo6pSYoB",0.06,0,not trump
3688,".@HillaryClinton is NOT above the law!
#Debates2016 https://t.co/4arYZcGgYZ",0.04,0,not trump
3689,RT @realDonaldTrump: ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,0.12,0,not trump
3690,"#CrookedHillary has FAILED all over the world! 􏰀 
#BigLeagueTruth #Debates2016 https://t.co/dalk9JKcFg",0.0,0,not trump
3691,RT @TeamTrump: ONLY @realDonaldTrump will end what even @BillClinton called a CRAZY SYSTEM. #BigLeagueTruth #Debate https://t.co/cgoqZLDXDV,0.24,0,not trump
3692,".@HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE FIGHT.""
@Mike_Pence #MAGA https://t.co/FUQzXlyPwY",0.54,1,trump
3694,I hope when the MSM runs its “interruption counters” they consider the # of times the moderators interrupted me com… https://t.co/pHEjp8bZVP,0.06,0,not trump
3695,Hypocrite! @HillaryClinton claims she needs a “public and a private stance” in discussions with Wall Street banks. #Debate,0.56,1,trump
3696,"""YOU NEED BOTH A PUBLIC AND A PRIVATE POSITION""
@HillaryClinton #Debates2016 https://t.co/oI2qi2HAdO",0.1,0,not trump
3698,"History lesson: There’s a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Hone… https://t.co/A5JDkz1eCE",0.14,0,not trump
3699,RT @TeamTrump: .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D…,0.3,0,not trump
3701,"Here are Hillary Clinton's ""accomplishments"" at the State Department.
#Debates2016 #RattledHillary https://t.co/iouuqXYAdq",0.02,0,not trump
3702,"The world is most peaceful, and most prosperous when America is strongest. https://t.co/Y2Dx7xyBBs",0.16,0,not trump
3703,"RT @JasonMillerinDC: Is @realDonaldTrump debating Crooked @HillaryClinton or the moderators, @AC360 and @MarthaRaddatz? #rattledhillary",0.2,0,not trump
3704,This is the definition of ransom ⬇ https://t.co/370piI2JLp,0.04,0,not trump
3705,We cannot let this evil continue! #Debates2016 https://t.co/f6BxYyRJID,0.14,0,not trump
3706,"RT @TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://t.co/CaFOF7jS7k",0.3,0,not trump
3707,RT @TeamTrump: .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y,0.48,0,not trump
3709,"In my administration, EVERY American will be treated equally, protected equally, and honored equally #Debate #BigLeagueTruth",0.22,0,not trump
3710,"FACT ✔️ on “red line” in Syria: HRC ""I wasn’t there."" Fact: line drawn in Aug ’12. HRC Secy of State til Feb ’13. https://t.co/4yZjH3TR5B",0.18,0,not trump
3711,"If @HillaryClinton is president, she’ll be all talk and nothing will get done. #Debate #BigLeagueTruth",0.52,1,trump
3712,"We agree @POTUS-

""SHE'LL (Hillary Clinton) SAY ANYTHING &amp; CHANGE NOTHING. IT'S TIME TO TURN THE PAGE"" -President Obama",0.46,0,not trump
3713,This country cannot take four more years of Barack Obama! #Debate,0.3,0,not trump
3714,@AC360: “How can you unite a country if you’ve written off tens of millions of Americans?” #Deplorables #BigLeagueTruth #Debate,0.62,1,trump
3716,Our country has the slowest growth since 1929. #BigLeagueTruth #debate,0.3,0,not trump
3720,"Hypocrite: @HillaryClinton is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth",0.48,0,not trump
3722,RT @TeamTrump: It’s US vs. them! @realDonaldTrump will fight for you! #BigLeagueTruth #Debates,0.14,0,not trump
3724,RT @TeamTrump: RT if you agree @realDonaldTrump WON the #Debate- BIG LEAGUE! #MAGA https://t.co/EmwDZ32uAZ,0.32,0,not trump
3738,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,0.44,0,not trump
